"10540: Registrerte arbeidsledige (prosent), etter region, alder, statistikkvariabel og måned"

"region";"alder";"Registrert helt arbeidsledige 1999M01";"Registrert helt arbeidsledige 1999M02";"Registrert helt arbeidsledige 1999M03";"Registrert helt arbeidsledige 1999M04";"Registrert helt arbeidsledige 1999M05";"Registrert helt arbeidsledige 1999M06";"Registrert helt arbeidsledige 1999M07";"Registrert helt arbeidsledige 1999M08";"Registrert helt arbeidsledige 1999M09";"Registrert helt arbeidsledige 1999M10";"Registrert helt arbeidsledige 1999M11";"Registrert helt arbeidsledige 1999M12";"Registrert helt arbeidsledige 2000M01";"Registrert helt arbeidsledige 2000M02";"Registrert helt arbeidsledige 2000M03";"Registrert helt arbeidsledige 2000M04";"Registrert helt arbeidsledige 2000M05";"Registrert helt arbeidsledige 2000M06";"Registrert helt arbeidsledige 2000M07";"Registrert helt arbeidsledige 2000M08";"Registrert helt arbeidsledige 2000M09";"Registrert helt arbeidsledige 2000M10";"Registrert helt arbeidsledige 2000M11";"Registrert helt arbeidsledige 2000M12";"Registrert helt arbeidsledige 2001M01";"Registrert helt arbeidsledige 2001M02";"Registrert helt arbeidsledige 2001M03";"Registrert helt arbeidsledige 2001M04";"Registrert helt arbeidsledige 2001M05";"Registrert helt arbeidsledige 2001M06";"Registrert helt arbeidsledige 2001M07";"Registrert helt arbeidsledige 2001M08";"Registrert helt arbeidsledige 2001M09";"Registrert helt arbeidsledige 2001M10";"Registrert helt arbeidsledige 2001M11";"Registrert helt arbeidsledige 2001M12";"Registrert helt arbeidsledige 2002M01";"Registrert helt arbeidsledige 2002M02";"Registrert helt arbeidsledige 2002M03";"Registrert helt arbeidsledige 2002M04";"Registrert helt arbeidsledige 2002M05";"Registrert helt arbeidsledige 2002M06";"Registrert helt arbeidsledige 2002M07";"Registrert helt arbeidsledige 2002M08";"Registrert helt arbeidsledige 2002M09";"Registrert helt arbeidsledige 2002M10";"Registrert helt arbeidsledige 2002M11";"Registrert helt arbeidsledige 2002M12"
"1106 Haugesund";"15-29 år";2.7;3.3;2.8;3.3;2.8;3.6;5.1;5.3;5.4;5.5;5.3;5.8;8.2;7.7;7.6;5.5;5.9;5.9;7.5;7.1;6.3;6.1;6.7;6.9;8.3;7.1;6.4;5.5;5.6;6.2;6.7;6.8;6.5;6.4;6.0;5.7;7.1;6.7;6.7;5.7;6.0;6.4;6.9;6.4;6.5;5.9;5.9;5.6
"1106 Haugesund";"30-74 år";2.3;2.4;2.2;2.1;1.9;2.2;2.5;3.4;3.5;3.5;3.3;3.4;4.0;3.8;3.8;3.6;4.1;3.9;4.1;4.2;4.1;4.4;4.3;4.4;4.4;4.1;3.9;3.6;3.3;3.8;4.0;4.0;3.8;3.7;3.8;3.9;4.1;3.9;4.0;3.9;3.6;3.6;4.1;3.9;3.6;3.6;3.6;3.8
"1108 Sandnes";"15-74 år";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"1108 Sandnes";"15-29 år";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"1108 Sandnes";"30-74 år";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"1111 Sokndal";"15-74 år";2.7;2.2;2.6;2.1;1.6;2.0;2.3;2.4;1.9;2.0;2.0;2.0;2.8;3.7;3.3;2.7;2.4;3.7;4.4;4.4;4.4;4.3;4.4;4.5;4.3;4.1;3.9;3.7;3.5;3.3;3.0;3.2;3.4;2.8;3.3;3.9;4.5;4.2;3.7;3.0;2.7;2.7;3.7;3.4;3.0;3.4;3.9;4.1
"1111 Sokndal";"15-29 år";5.0;3.8;5.0;4.3;3.8;4.3;4.3;5.3;3.8;4.3;4.8;5.5;5.9;5.9;7.2;6.1;5.9;9.0;9.2;9.0;7.9;7.9;9.0;9.0;9.2;7.6;7.6;6.8;5.8;6.6;4.7;5.3;5.5;5.0;5.0;7.1;7.9;7.1;5.5;3.7;3.2;2.9;5.5;4.0;3.4;3.4;3.4;2.6
"1111 Sokndal";"30-74 år";1.9;1.7;1.7;1.4;0.9;1.2;1.6;1.5;1.2;1.2;1.1;0.8;1.7;3.0;2.0;1.5;1.2;1.9;2.8;2.9;3.2;3.1;2.8;3.0;2.7;3.0;2.7;2.7;2.7;2.2;2.5;2.6;2.7;2.1;2.8;2.9;3.4;3.3;3.2;2.8;2.6;2.7;3.2;3.3;2.9;3.3;4.1;4.5
"1112 Lund";"15-74 år";1.0;1.2;0.8;0.8;0.8;0.9;1.6;1.3;0.9;0.8;1.1;0.9;1.6;1.8;1.6;1.6;1.6;2.0;2.3;1.9;1.5;1.4;1.6;1.8;2.1;1.7;1.5;1.1;1.3;1.5;2.0;1.6;1.8;1.5;2.1;1.9;2.1;1.5;1.7;1.4;1.2;1.1;1.8;1.8;1.8;1.6;1.8;1.5
"1112 Lund";"15-29 år";1.7;1.5;1.5;1.3;1.7;1.5;2.1;1.9;1.3;1.1;1.3;1.3;1.5;2.6;1.7;2.0;2.6;3.5;3.5;2.6;1.7;2.0;2.2;2.4;3.1;2.9;2.0;2.0;2.4;2.4;3.3;2.2;2.6;1.5;3.1;2.9;3.5;2.8;3.3;2.6;2.6;2.1;3.3;3.5;3.3;2.4;3.8;2.6
"1112 Lund";"30-74 år";0.7;1.1;0.5;0.6;0.4;0.6;1.3;1.1;0.7;0.7;1.1;0.8;1.6;1.5;1.6;1.4;1.2;1.4;1.9;1.6;1.4;1.2;1.4;1.5;1.7;1.2;1.3;0.8;0.8;1.2;1.4;1.3;1.5;1.5;1.7;1.5;1.6;1.0;1.1;1.0;0.7;0.7;1.3;1.1;1.3;1.3;1.0;1.1
"1114 Bjerkreim";"15-74 år";0.8;1.4;0.8;1.1;0.7;0.8;0.8;0.9;1.0;0.4;0.6;0.9;1.4;1.3;1.0;1.0;1.1;1.7;1.4;1.7;1.5;1.4;1.5;1.4;1.4;1.4;1.1;1.2;1.1;1.3;1.5;1.2;1.3;1.1;1.3;1.2;1.3;1.1;1.2;1.1;1.1;1.1;1.1;1.5;1.2;1.4;1.7;1.8
"1114 Bjerkreim";"15-29 år";1.5;1.9;1.0;2.2;1.0;1.2;1.2;1.2;1.2;0.5;0.5;1.0;2.0;1.7;1.0;0.5;1.0;2.5;2.0;2.5;2.0;2.0;2.5;2.7;3.4;2.5;2.0;1.7;1.0;2.0;2.2;1.0;1.0;0.2;0.7;1.2;1.5;1.7;1.5;0.7;1.2;1.5;1.7;2.0;1.5;1.5;2.2;1.7
"1114 Bjerkreim";"30-74 år";0.6;1.1;0.7;0.6;0.6;0.6;0.7;0.8;0.9;0.3;0.7;0.9;1.2;1.1;1.0;1.2;1.1;1.4;1.2;1.3;1.3;1.1;1.1;0.8;0.5;1.0;0.8;1.0;1.2;1.0;1.2;1.3;1.4;1.5;1.5;1.2;1.2;0.9;1.1;1.2;1.0;1.0;0.9;1.3;1.1;1.4;1.4;1.8
"1119 Hå";"15-74 år";1.0;0.9;1.0;0.9;0.8;0.9;1.0;1.2;1.1;1.2;1.2;1.3;1.5;1.4;1.3;1.4;1.3;1.7;1.8;1.8;1.9;2.4;2.3;2.1;2.0;1.6;1.7;1.4;1.3;1.2;1.4;1.4;1.3;1.2;1.3;1.3;1.7;1.5;1.4;1.4;1.2;1.3;1.6;1.7;1.8;1.7;1.4;1.6
"1119 Hå";"15-29 år";1.2;1.1;1.4;1.0;0.9;1.0;1.5;1.9;1.9;1.7;1.5;1.8;2.2;1.8;1.5;1.8;1.4;2.4;2.9;2.6;2.6;3.4;3.0;2.9;3.2;2.3;2.3;2.0;1.8;1.6;1.7;1.5;1.9;1.8;1.8;1.7;2.5;2.3;2.0;1.8;1.5;1.9;2.2;2.7;3.1;2.8;2.1;2.3
"1119 Hå";"30-74 år";0.9;0.7;0.8;0.8;0.8;0.8;0.8;0.8;0.7;1.0;1.0;1.0;1.1;1.2;1.2;1.3;1.3;1.3;1.2;1.3;1.6;1.9;2.0;1.8;1.5;1.2;1.4;1.1;1.1;1.0;1.3;1.3;1.0;0.9;1.1;1.2;1.3;1.1;1.2;1.1;1.1;1.0;1.3;1.3;1.2;1.2;1.1;1.3
"1120 Klepp";"15-74 år";1.3;1.3;1.0;1.2;1.1;1.2;1.5;1.3;1.2;1.3;1.3;1.4;1.7;1.7;1.6;1.4;1.5;1.8;1.7;2.0;1.9;2.0;3.7;3.2;2.4;2.0;1.9;1.5;1.4;1.4;1.7;1.8;1.6;1.7;2.0;2.0;2.3;2.1;2.2;2.0;1.8;1.9;2.1;2.1;2.1;2.0;1.9;2.0
"1120 Klepp";"15-29 år";2.5;2.2;1.5;2.0;1.4;1.9;2.3;2.2;1.9;2.0;2.0;2.2;2.6;2.4;2.0;2.1;2.1;2.5;2.5;2.8;1.8;2.6;3.4;3.2;3.2;2.9;2.4;1.9;1.7;1.9;2.2;2.7;2.1;2.5;2.8;2.7;3.8;3.5;3.5;3.1;2.9;2.9;2.9;3.0;2.9;2.6;2.6;2.9
"1120 Klepp";"30-74 år";0.7;0.9;0.8;0.9;0.9;0.9;1.1;0.9;0.8;1.0;1.0;1.1;1.4;1.4;1.4;1.1;1.2;1.4;1.4;1.7;1.9;1.7;3.9;3.3;2.1;1.6;1.7;1.4;1.2;1.2;1.4;1.5;1.4;1.4;1.7;1.7;1.7;1.6;1.7;1.6;1.4;1.4;1.8;1.7;1.8;1.8;1.6;1.7
"1121 Time";"15-74 år";1.3;1.3;1.3;1.2;1.0;1.3;1.6;1.6;1.3;1.3;1.3;1.3;1.8;1.6;1.6;1.5;1.6;1.6;2.3;2.2;2.0;2.0;4.8;4.0;2.1;1.9;1.8;1.3;1.2;1.2;1.5;1.6;1.9;2.0;1.9;1.8;1.9;2.1;2.0;1.9;1.9;1.9;2.3;2.3;2.1;2.0;2.2;2.1
"1121 Time";"15-29 år";2.0;1.9;2.2;1.7;1.2;2.0;2.1;2.1;1.7;1.3;1.7;1.8;2.6;2.0;1.9;1.9;1.9;2.3;3.4;3.4;2.9;2.9;4.7;4.4;3.9;3.2;3.1;2.1;1.9;2.0;2.0;2.6;2.6;3.0;2.7;2.5;2.8;2.8;2.6;2.6;2.6;3.2;3.5;3.7;3.0;3.1;2.9;2.7
"1121 Time";"30-74 år";0.9;1.0;0.9;0.9;0.9;1.0;1.4;1.4;1.1;1.2;1.0;1.1;1.5;1.4;1.4;1.3;1.4;1.4;1.9;1.7;1.6;1.6;4.8;3.8;1.4;1.4;1.3;1.0;0.9;0.9;1.3;1.3;1.6;1.6;1.5;1.5;1.5;1.9;1.7;1.7;1.6;1.4;1.9;1.7;1.7;1.6;1.9;1.8
"1122 Gjesdal";"15-74 år";1.3;1.2;1.2;1.0;1.4;1.4;1.4;1.5;1.7;1.5;1.3;1.6;2.0;2.0;1.9;2.1;1.8;1.9;2.1;2.2;2.0;2.1;2.7;2.6;2.3;2.0;1.9;1.7;1.5;1.5;1.7;1.9;2.0;2.1;1.7;1.9;2.2;1.9;2.1;2.1;1.8;1.8;2.2;2.2;1.8;2.3;2.5;2.7
"1122 Gjesdal";"15-29 år";1.8;1.4;1.5;1.4;2.0;2.0;2.1;2.0;2.6;2.0;1.7;2.0;2.5;3.3;2.8;3.3;2.7;2.8;3.0;3.5;2.6;2.5;3.2;3.2;2.9;2.8;2.5;2.2;1.5;1.9;2.0;2.8;3.3;3.3;2.6;2.8;3.3;2.7;3.1;3.8;2.8;2.8;3.0;3.3;3.2;3.3;3.6;3.8
"1122 Gjesdal";"30-74 år";1.1;1.2;1.0;0.9;1.1;1.1;1.0;1.3;1.2;1.3;1.1;1.4;1.7;1.4;1.5;1.6;1.4;1.5;1.7;1.7;1.8;1.9;2.5;2.4;2.0;1.6;1.7;1.4;1.4;1.4;1.6;1.5;1.5;1.5;1.2;1.5;1.8;1.6;1.7;1.4;1.5;1.5;1.9;1.8;1.3;1.9;2.1;2.3
"1124 Sola";"15-74 år";1.7;1.6;1.7;1.7;1.5;1.8;2.1;2.1;2.1;2.0;2.0;2.2;2.5;2.4;2.3;2.1;2.1;2.4;2.7;2.5;2.4;2.5;2.4;2.5;2.6;2.5;2.4;2.0;2.0;2.0;2.4;2.5;2.6;2.3;2.3;2.4;2.8;2.8;2.8;2.6;2.6;2.6;3.0;3.3;3.3;3.1;3.3;3.1
"1124 Sola";"15-29 år";1.8;1.5;1.7;1.7;1.4;2.0;2.8;2.8;2.4;2.4;2.4;2.7;2.8;2.8;2.2;2.3;2.4;2.7;3.1;3.0;2.6;2.5;2.2;2.4;3.0;3.1;3.2;2.5;2.1;2.1;3.0;3.4;3.7;3.2;2.9;2.9;3.6;3.7;3.7;3.4;3.1;3.3;4.3;4.5;4.5;4.1;4.4;3.9
"1124 Sola";"30-74 år";1.7;1.7;1.7;1.8;1.5;1.7;1.9;1.9;1.9;1.9;1.9;2.0;2.4;2.3;2.3;2.1;2.0;2.3;2.5;2.3;2.3;2.4;2.5;2.5;2.5;2.3;2.1;1.9;1.9;1.9;2.1;2.2;2.2;2.0;2.1;2.2;2.5;2.5;2.6;2.3;2.4;2.3;2.6;2.8;2.9;2.7;3.0;2.8
"1127 Randaberg";"15-74 år";1.1;1.0;1.1;1.1;1.0;1.1;1.3;1.5;1.6;1.5;1.6;1.4;1.9;1.6;1.8;1.7;1.6;2.0;2.2;2.1;2.0;1.7;1.8;2.0;2.1;1.8;1.4;1.5;1.5;1.6;1.7;1.7;1.8;1.7;1.8;1.8;2.3;2.0;2.1;1.8;1.9;2.3;2.4;2.2;2.1;2.3;2.5;2.6
"1127 Randaberg";"15-29 år";1.4;1.0;1.3;1.3;1.0;1.7;1.8;1.9;1.8;1.8;2.0;1.6;2.4;1.6;1.9;1.7;1.6;2.4;3.2;3.5;3.2;2.4;2.3;2.3;2.5;2.4;1.7;1.7;1.6;2.1;2.4;2.7;2.5;2.2;2.4;2.5;3.7;3.1;3.1;2.2;2.3;3.3;3.2;3.2;2.6;2.9;3.2;3.2
"1127 Randaberg";"30-74 år";1.0;0.9;1.0;1.0;1.0;0.9;1.1;1.3;1.5;1.4;1.4;1.3;1.7;1.6;1.8;1.7;1.5;1.9;1.8;1.5;1.5;1.4;1.6;1.8;2.0;1.5;1.3;1.4;1.5;1.4;1.5;1.3;1.5;1.5;1.6;1.5;1.9;1.6;1.8;1.6;1.8;1.9;2.1;1.9;2.0;2.0;2.3;2.5
"1129 Forsand (-2019)";"15-74 år";1.7;1.3;1.5;1.5;0.8;1.0;0.8;1.0;1.1;1.3;1.1;1.5;1.5;1.1;2.0;1.9;1.5;1.3;1.7;2.4;2.2;2.4;1.9;2.4;1.9;1.7;2.3;1.3;1.9;2.1;2.3;2.4;1.5;1.3;1.3;1.9;1.8;1.8;1.6;1.2;1.8;1.6;1.8;2.1;3.1;2.7;2.5;2.3
"1129 Forsand (-2019)";"15-29 år";4.9;2.8;3.5;3.5;1.4;2.1;1.4;2.1;1.4;2.1;2.8;4.2;3.8;1.9;3.1;3.1;1.9;2.5;1.9;3.8;3.1;3.1;3.1;3.8;3.4;4.8;4.8;2.7;3.4;4.1;4.8;4.8;2.7;1.4;2.1;1.4;2.5;2.5;1.7;1.7;2.5;2.5;2.5;1.7;5.0;3.4;3.4;3.4
"1129 Forsand (-2019)";"30-74 år";0.5;0.8;0.8;0.8;0.5;0.5;0.5;0.5;1.1;1.1;0.5;0.5;0.5;0.8;1.6;1.3;1.3;0.8;1.6;1.8;1.8;2.1;1.3;1.8;1.3;0.5;1.3;0.8;1.3;1.3;1.3;1.6;1.0;1.3;1.0;2.1;1.5;1.5;1.5;1.0;1.5;1.3;1.5;2.3;2.5;2.5;2.3;2.0
"1130 Strand";"15-74 år";1.6;1.8;1.6;1.8;1.4;1.5;2.5;2.2;2.1;2.4;2.1;3.7;3.1;2.8;2.6;2.4;2.6;2.9;3.0;3.0;2.6;3.0;3.0;3.7;3.9;3.5;3.1;2.7;2.0;2.1;2.7;2.8;2.5;2.6;2.8;2.9;3.6;3.7;3.6;3.0;3.0;3.1;3.6;3.5;3.1;3.4;3.8;4.8
"1130 Strand";"15-29 år";2.9;2.9;2.4;2.8;1.8;2.1;3.3;4.2;3.7;3.7;3.1;3.8;4.6;4.6;4.4;4.2;4.6;4.7;5.1;4.7;4.2;5.0;5.0;6.0;6.1;5.6;5.1;3.8;2.8;3.3;3.8;4.2;3.8;3.5;4.3;4.2;6.0;6.2;5.6;4.7;4.5;5.0;5.1;5.6;4.6;5.1;5.6;7.3
"1130 Strand";"30-74 år";1.1;1.3;1.3;1.4;1.2;1.3;2.1;1.2;1.4;1.8;1.6;3.6;2.5;2.1;1.8;1.6;1.7;2.0;2.0;2.2;1.9;2.0;2.1;2.6;2.9;2.6;2.2;2.2;1.6;1.6;2.2;2.2;1.9;2.3;2.2;2.3;2.6;2.7;2.7;2.3;2.3;2.3;2.9;2.6;2.5;2.7;3.1;3.8
"1133 Hjelmeland";"15-74 år";1.0;1.0;1.2;1.0;0.6;0.6;1.2;1.1;1.0;0.9;0.7;0.8;1.9;1.3;1.4;1.5;1.5;1.0;1.7;1.0;0.8;1.0;1.1;1.4;2.0;1.2;1.4;1.2;0.6;0.8;0.8;0.8;1.0;1.0;1.5;1.6;2.5;1.4;1.7;2.0;2.2;1.5;1.3;1.5;1.6;2.8;1.8;1.8
"1133 Hjelmeland";"15-29 år";0.9;1.2;1.2;0.7;0.2;0.5;1.2;0.9;0.2;0.5;0.2;0.2;0.7;0.9;1.2;1.9;2.1;1.2;1.9;0.9;0.7;1.2;0.9;1.2;2.9;1.2;2.4;1.2;0.5;1.0;0.5;1.0;1.5;1.5;1.5;1.5;2.9;2.1;2.7;2.1;2.7;1.6;1.3;1.6;1.3;2.4;1.6;1.3
"1133 Hjelmeland";"30-74 år";1.1;1.0;1.2;1.1;0.8;0.7;1.2;1.2;1.3;1.1;0.9;1.1;2.3;1.4;1.4;1.3;1.3;1.0;1.6;1.0;0.9;1.0;1.2;1.5;1.6;1.3;1.0;1.3;0.7;0.7;1.0;0.7;0.8;0.9;1.5;1.6;2.4;1.1;1.3;2.0;2.1;1.4;1.2;1.5;1.7;3.0;1.8;2.0
"1134 Suldal";"15-74 år";1.9;1.4;1.3;1.1;0.9;1.1;1.1;0.8;1.3;1.5;1.6;1.6;1.7;1.5;1.9;1.4;1.8;1.5;1.6;1.6;1.7;1.5;1.8;1.6;2.6;2.2;1.9;1.7;1.6;1.9;1.8;1.9;2.2;2.1;2.1;1.4;1.6;1.4;1.4;2.1;1.5;1.6;1.6;1.7;1.7;1.9;1.9;1.8
"1134 Suldal";"15-29 år";2.2;1.4;1.4;1.1;1.1;1.3;1.4;1.1;1.4;1.8;1.6;1.4;2.5;1.8;1.9;1.9;2.5;1.9;2.1;1.4;2.3;1.8;2.6;1.9;3.3;2.2;2.0;1.3;1.8;2.2;2.0;2.2;1.8;2.7;3.3;1.3;1.3;1.5;1.1;1.8;1.1;1.5;1.3;1.6;2.0;2.7;1.8;2.6
"1134 Suldal";"30-74 år";1.7;1.4;1.3;1.1;0.9;1.0;1.0;0.7;1.3;1.3;1.6;1.6;1.5;1.4;1.9;1.2;1.6;1.3;1.4;1.6;1.5;1.4;1.5;1.4;2.4;2.2;1.9;1.9;1.5;1.8;1.7;1.7;2.3;1.9;1.7;1.5;1.7;1.4;1.5;2.2;1.7;1.7;1.7;1.8;1.6;1.6;1.9;1.5
"1135 Sauda";"15-74 år";4.4;3.7;4.0;3.5;2.7;4.1;3.3;3.3;3.2;4.0;4.2;3.9;4.7;3.7;3.7;3.2;4.5;2.8;2.9;3.5;3.2;3.0;3.5;4.2;4.2;4.4;3.8;3.4;3.4;5.9;3.5;4.0;3.7;3.3;3.7;3.9;4.1;3.6;3.4;3.5;10.7;3.7;3.9;3.4;3.4;3.6;3.6;3.3
"1135 Sauda";"15-29 år";6.0;4.6;4.1;3.5;2.5;7.6;3.8;4.5;3.8;5.1;5.9;6.5;7.8;5.4;4.7;3.9;9.3;3.7;4.1;5.6;5.2;3.2;4.1;5.2;5.8;6.3;5.0;4.3;4.6;14.6;5.3;5.8;5.8;4.5;4.8;5.8;6.5;5.2;4.6;4.8;33.7;5.5;5.2;4.8;4.6;5.3;6.0;6.0
"1135 Sauda";"30-74 år";3.8;3.5;3.9;3.5;2.8;2.9;3.1;2.9;3.0;3.7;3.7;3.0;3.6;3.1;3.3;3.0;3.0;2.5;2.5;2.8;2.5;3.0;3.3;3.9;3.7;3.8;3.4;3.1;2.9;3.0;2.9;3.4;3.0;2.9;3.4;3.2;3.4;3.1;3.1;3.1;3.4;3.1;3.6;3.0;3.0;3.1;2.8;2.4
"1141 Finnøy (-2019)";"15-74 år";0.8;0.8;0.8;0.6;0.3;0.4;0.3;0.4;0.6;0.8;0.8;1.2;1.7;1.4;1.0;1.2;1.4;1.1;1.7;2.1;1.7;1.4;2.0;1.6;1.4;1.3;1.1;1.0;0.7;1.0;1.2;1.5;1.2;1.3;1.5;1.4;1.6;1.5;1.2;1.4;1.2;0.8;1.2;1.0;1.3;1.6;1.4;1.5
